,base_price,date,count,num_id
64643,219.36,1/1/2019,1,7022141-804 _ 5210.0
63076,174.27,1/1/2019,1,10154650-118__NEW _ 1064.0
64161,203.4103,1/1/2019,1,68001100-104__NEW _ 1064.0
68231,375,1/1/2019,1,2591201-903 _ 1008.0
68527,395,1/1/2019,1,4092743-901 _ 1103.0
68469,391.08,1/1/2019,1,4045621 _ 5253.0
10544,0.21,1/1/2019,1,PN280 _ 1600.0
15394,0.5,1/1/2019,1,MS16625-4100 _ 1600.0
5700,0.05,1/1/2019,1,089-06008-0004 _ 5253.0
5839,0.05,1/1/2019,1,007-06016-0000 _ 5210.0
22051,1.43,1/1/2019,1,26016268-101 _ 1062.0
58952,102,1/1/2019,1,A9951-1 _ 1600.0
61734,147.08,1/1/2019,1,HG9868D1-015 _ 1039.0
60141,118.73,1/1/2019,1,10099367-101 _ 1062.0
77237,2082.23,1/1/2019,1,722-4223-013 _ 5253.0
77508,2250,1/1/2019,1,980-4700-042 _ 5253.0
77509,2250,1/1/2019,1,980-4710-003 _ 5253.0
77196,2062.82,1/1/2019,1,4091159-901 _ 5253.0
77195,2062.6667,1/1/2019,1,4083602-901__RPR _ 1062.0
77263,2091.834,1/1/2019,1,34209277-005 _ 1039.0
77829,2441.6667,1/1/2019,1,34209400-WB44-001 _ 1039.0
77925,2500,1/1/2019,1,HG9869T2-001 _ 1039.0
77926,2500,1/1/2019,1,HG9907A04-020 _ 1039.0
77927,2500,1/1/2019,1,HG9907B02-001 _ 1039.0
77800,2422.7778,1/1/2019,1,8525370-920 _ 1008.0
77340,2137.87,1/1/2019,1,7036319-1905 _ 5210.0
77356,2148.64,1/1/2019,1,2815262-2 _ 1008.0
77310,2118.75,1/1/2019,1,34209400-TB44-001 _ 1039.0
77587,2298,1/1/2019,1,34209950-RN14-960 _ 1039.0
78703,3150,1/1/2019,1,HG9741R1 _ 1039.0
78704,3150,1/1/2019,1,34200650-D1BM _ 1039.0
78678,3129.8217,1/1/2019,1,2819206-1 _ 1008.0
78016,2563.5962,1/1/2019,1,4083345-2__SPR _ 1009.0
78824,3281,1/1/2019,1,8525417-910 _ 1073.0
78185,2693,1/1/2019,1,2118952-5 _ 1008.0
77440,2200,1/1/2019,1,FG220A272 _ 1062.0
77441,2200,1/1/2019,1,FG220A280 _ 1062.0
77442,2200,1/1/2019,1,FG250A47 _ 1062.0
78542,3030.75,1/1/2019,1,34201700-3M43A _ 1039.0
78547,3036.625,1/1/2019,1,34200600-30H4A _ 1039.0
78579,3056,1/1/2019,1,5050052-9 _ 1008.0
78495,2979.655,1/1/2019,1,5050218-9 _ 1008.0
77723,2385,1/1/2019,1,HG9910B01 _ 1039.0
77722,2385,1/1/2019,1,HG9886F01 _ 1039.0
77697,2366,1/1/2019,1,HG9910A01 _ 1039.0
57127,82.92,1/1/2019,1,25-1846-0028YF _ 1600.0
57129,82.92,1/1/2019,1,25-1846-0039RG _ 1600.0
66230,275,1/1/2019,1,FG420A11 _ 1062.0
56627,78.4669,1/1/2019,1,10141903-101__UNF _ 1064.0
65343,243.6516,1/1/2019,1,68001100-104__MAJ _ 1064.0
65340,243.5419,1/1/2019,1,10154650-118__REA _ 1064.0
55031,65.9155,1/1/2019,1,68001100-104__MIN _ 1064.0
55795,71.6,1/1/2019,1,25-0929-1495 _ 1600.0
56125,74.3697,1/1/2019,1,10149067-102__NEW _ 1064.0
56193,75,1/1/2019,1,04003310 _ 1006.0
26344,2.6,1/1/2019,1,0039000433 _ 1006.0
26021,2.5,1/1/2019,1,0039014036 _ 1006.0
25769,2.43,1/1/2019,1,26012251-101 _ 1062.0
26705,2.73,1/1/2019,1,55-0419-75R03F _ 1600.0
3203,0.01,1/1/2019,1,0770-3 _ 5210.0
4126,0.02,1/1/2019,1,10095212-101 _ 1062.0
4127,0.02,1/1/2019,1,10095212-102 _ 1062.0
4128,0.02,1/1/2019,1,10095212-103 _ 1062.0
4129,0.02,1/1/2019,1,26016707-201 _ 1062.0
4130,0.02,1/1/2019,1,26016707-202 _ 1062.0
4131,0.02,1/1/2019,1,26016707-203 _ 1062.0
4132,0.02,1/1/2019,1,26016707-104 _ 1062.0
14594,0.44,1/1/2019,1,NS5342 _ 1600.0
27002,2.86,1/1/2019,1,0039000047 _ 1006.0
25587,2.36,1/1/2019,1,60-3500-33 _ 1600.0
26376,2.61,1/1/2019,1,1902225-3 _ 1103.0
10980,0.23,1/1/2019,1,CO900 _ 1600.0
24256,1.93,1/1/2019,1,AS21919WCJ07 _ 1600.0
12502,0.3,1/1/2019,1,CN64976 _ 1600.0
27149,2.91,1/1/2019,1,RG152 _ 1600.0
15566,0.52,1/1/2019,1,8713. _ 1064.0
5088,0.04,1/1/2019,1,53000220-347 _ 5253.0
4923,0.03,1/1/2019,1,MS3367-1-9 _ 1600.0
15820,0.54,1/1/2019,1,M7928-5-4 _ 1600.0
19818,1,1/1/2019,1,4091901-941 _ 1073.0
19817,1,1/1/2019,1,8525420-2__NFF _ 1073.0
19814,1,1/1/2019,1,8527044-1 _ 1073.0
20797,1.18,1/1/2019,1,089-06368-0004 _ 5210.0
6556,0.07,1/1/2019,1,089-06492-0005 _ 5253.0
9408,0.16,1/1/2019,1,SC640 _ 1600.0
18116,0.77,1/1/2019,1,M7928-5-5 _ 1600.0
50272,40.48,1/1/2019,1,SW548 _ 1600.0
31782,5.12,1/1/2019,1,62001388-1 _ 5253.0
49253,36.57,1/1/2019,1,10149067-102__RWK _ 1064.0
49147,36.2269,1/1/2019,1,10090154-108 _ 1062.0
50895,43.36,1/1/2019,1,02041601101 _ 1006.0
48063,32.36,1/1/2019,1,FA5892 _ 1600.0
29055,3.68,1/1/2019,1,26006523-101 _ 1062.0
29177,3.74,1/1/2019,1,12042-0056 _ 5253.0
30616,4.41,1/1/2019,1,4051759-33 _ 1009.0
46384,27.18,1/1/2019,1,72325178-1 _ 1600.0
42865,18.32,1/1/2019,1,10068289-101 _ 1062.0
42169,16.9,1/1/2019,1,61-3627-1 _ 1600.0
44667,22.33,1/1/2019,1,260-4492 _ 1095.0
45350,24.17,1/1/2019,1,02011601101 _ 1006.0
51674,47.08,1/1/2019,1,047-06112-0001 _ 5210.0
52953,53.5,1/1/2019,1,10022194-120 _ 1062.0
52827,52.66,1/1/2019,1,10068381-101 _ 1062.0
53433,56.42,1/1/2019,1,10154650-118__HPR _ 1064.0
54071,59.74,1/1/2019,1,26019383-101 _ 1062.0
52565,51.145,1/1/2019,1,10153598-101 _ 1103.0
43383,19.49,1/1/2019,1,4056871-3 _ 5253.0
71653,675,1/1/2019,1,4092743-904 _ 1103.0
71480,654.86,1/1/2019,1,722-4877-002 _ 5253.0
79999,5082,1/1/2019,1,34200600-30H4 _ 1039.0
70930,595,1/1/2019,1,8520115-911 _ 1008.0
79917,4877.23,1/1/2019,1,3822333-1 _ 1008.0
79880,4800.42,1/1/2019,1,4089300-901 _ 5210.0
79734,4486.5,1/1/2019,1,3757537-3 _ 1008.0
80381,6042.07,1/1/2019,1,153-018132-22__NEW _ 1009.0
79814,4659.8913,1/1/2019,1,34201700-2M22A _ 1039.0
80033,5168.93,1/1/2019,1,34209700-3N7A _ 1039.0
80038,5183,1/1/2019,1,34200600-2C35A _ 1039.0
79787,4605.29,1/1/2019,1,16792-1A _ 1008.0
79743,4516,1/1/2019,1,5050261-19 _ 1008.0
71115,617.87,1/1/2019,1,980-6117-004__MIN _ 5210.0
74525,1156.95,1/1/2019,1,980-6116-002__MIN _ 5210.0
74276,1100,1/1/2019,1,3214936-3-1 _ 1039.0
74360,1117.81,1/1/2019,1,980-6116-001__MIN _ 5210.0
74077,1050,1/1/2019,1,FG6E1 _ 1062.0
75409,1383,1/1/2019,1,HG9869N1-001 _ 1039.0
75224,1330.758,1/1/2019,1,34214104-001 _ 1039.0
74018,1040,1/1/2019,1,4089200-901__MIN _ 1103.0
73986,1034.3333,1/1/2019,1,HG9868B1-001 _ 1039.0
69352,453.3,1/1/2019,1,83-0205-1 _ 1600.0
75408,1383,1/1/2019,1,HG9873N02-038 _ 1039.0
76354,1690,1/1/2019,1,HG9910D02 _ 1039.0
76355,1690,1/1/2019,1,34200600-2C35 _ 1039.0
76356,1690,1/1/2019,1,34200600-30S5A _ 1039.0
76433,1714.1667,1/1/2019,1,200-04872-0000 _ 5253.0
76530,1762.5,1/1/2019,1,34200650-30Q7A _ 1039.0
77073,2000.5,1/1/2019,1,8521858-98 _ 1073.0
76761,1852.7143,1/1/2019,1,HG9910D01 _ 1039.0
77111,2019.42,1/1/2019,1,2824882-2 _ 1008.0
77158,2041,1/1/2019,1,HG9874D1 _ 1039.0
76973,1959.375,1/1/2019,1,FG250A55 _ 1062.0
77039,1989.7647,1/1/2019,1,360-0101-002__CAR _ 1009.0
76986,1964,1/1/2019,1,HG9911E01 _ 1039.0
81331,11095.4,1/1/2019,1,2R9226A _ 1073.0
81168,9934.1404,1/1/2019,1,3775146-3__REP _ 1008.0
81282,10732.972,1/1/2019,1,3854009-2 _ 1008.0
80732,7459.28,1/1/2019,1,4091600-913-NPMA _ 1103.0
80735,7459.7842,1/1/2019,1,HG2021GD04__NEW _ 1062.0
80652,7140,1/1/2019,1,2R5310A__MR1 _ 1103.0
81186,9995,1/1/2019,1,HG2021KB02__NEW _ 1062.0
81265,10540.04,1/1/2019,1,7001483__CAR _ 1103.0
81253,10448,1/1/2019,1,8521858-108 _ 1073.0
81108,9410.18,1/1/2019,1,7001482__CAR _ 1103.0
80987,8421,1/1/2019,1,4091679-901__OEM _ 1103.0
80991,8445.04,1/1/2019,1,4091600-912-NPMA _ 1103.0
80961,8281.87,1/1/2019,1,4091600-911-NPMA _ 1103.0
81003,8527.4267,1/1/2019,1,3757528-1 _ 1008.0
76006,1573,1/1/2019,1,HG9869J1-001 _ 1039.0
76005,1571.27,1/1/2019,1,7018370-906//CM _ 1103.0
76007,1573,1/1/2019,1,34200750-R041-960 _ 1039.0
76008,1573,1/1/2019,1,34209950-RN14-021 _ 1039.0
78381,2834.72,1/1/2019,1,7000261-604__CAR _ 1103.0
78402,2850,1/1/2019,1,80-5184-1 _ 1600.0
78403,2850.345,1/1/2019,1,3757529-1 _ 1008.0
78377,2833,1/1/2019,1,8525420-3 _ 1073.0
78277,2761.0243,1/1/2019,1,HG9922EA01 _ 1039.0
78305,2775,1/1/2019,1,980-6022-001 _ 5253.0
78306,2775,1/1/2019,1,980-6032-001 _ 5253.0
78221,2719.65,1/1/2019,1,8529742-921 _ 1008.0
78222,2719.85,1/1/2019,1,5050051-9 _ 1008.0
75779,1500,1/1/2019,1,HG9869C7-001 _ 1039.0
75692,1476,1/1/2019,1,HG9873N02-005 _ 1039.0
75806,1509.6667,1/1/2019,1,34209200-R0H4-001 _ 1039.0
75891,1528.72,1/1/2019,1,7008465-8__MAJ _ 1009.0
76949,1942.22,1/1/2019,1,8064069-0502 _ 5253.0
76916,1925,1/1/2019,1,HG9869T2-012 _ 1039.0
75770,1500,1/1/2019,1,980-4700-027 _ 5253.0
76877,1900,1/1/2019,1,2816638-2 _ 1073.0
76882,1902.3333,1/1/2019,1,34209950-RN12-001 _ 1039.0
75836,1517.41,1/1/2019,1,34210908-002 _ 1039.0
75527,1422,1/1/2019,1,HG9886CA01 _ 1039.0
80726,7432,1/1/2019,1,8503421-916 _ 1073.0
79053,3557.0813,1/1/2019,1,8529742-920 _ 1008.0
78966,3445,1/1/2019,1,4006719-908__CAR _ 1103.0
79541,4235.7776,1/1/2019,1,6256-162__REP _ 1103.0
78918,3400,1/1/2019,1,HG9869C2 _ 1039.0
78919,3400,1/1/2019,1,HG9907A04-018 _ 1039.0
79028,3523.4829,1/1/2019,1,4089320-1006 _ 5253.0
79034,3532,1/1/2019,1,HG9914A01 _ 1039.0
78877,3348.85,1/1/2019,1,964-0401-017__CAR _ 5210.0
79365,3989.1153,1/1/2019,1,6256-176__REP _ 1103.0
79467,4122,1/1/2019,1,360-0102-003__CAR _ 1009.0
79380,4000,1/1/2019,1,8501101-925 _ 1008.0
79429,4082.34,1/1/2019,1,4012373-905__CAR _ 1103.0
79431,4083.4,1/1/2019,1,4012373-908__CAR _ 1103.0
79432,4083.4,1/1/2019,1,4012373-909__CAR _ 1103.0
